,id,youtuber_name,subscribers,channel_url
0,0,ITSub잇섭,2190000,https://www.youtube.com/c/ITSUB%EC%9E%87%EC%84%AD
1,1,주연 ZUYONI,590000,https://www.youtube.com/channel/UCB11SAf7WSN4GrCquKoOHrw
2,2,인태크 INTAECH,3410,https://www.youtube.com/channel/UCr6deoUPd2sh7mafAk5xWDQ
3,3,고나고,131000,https://www.youtube.com/user/gonachoi
4,4,삼성전자 Samsung Korea,441000,https://www.youtube.com/c/SamsungKorea
5,5,하다 일기,2,https://www.youtube.com/channel/UC2mFPcCVDdQLL6WyQ0pqRaA
6,6,Samsung,6220000,https://www.youtube.com/c/Samsung
7,7,사야되나 Ten,8800,https://www.youtube.com/c/%EC%82%AC%EC%95%BC%EB%90%98%EB%82%98Ten
8,8,더신자 TheSINZA,106000,https://www.youtube.com/c/TheSINZA
9,9,티노,64500,https://www.youtube.com/c/jerrylreny
10,10,에스오디 SOD,587000,https://www.youtube.com/c/%EC%97%90%EC%8A%A4%EC%98%A4%EB%94%94STORY
11,11,울트라TV,47300,https://www.youtube.com/c/binigoon79
12,12,태블릿 친구,3440,https://www.youtube.com/c/tablet79
13,13,기특한토깽,61100,https://www.youtube.com/channel/UCsqJJPqihIU25fCNiwR5Thg
14,14,고니TV,59100,https://www.youtube.com/c/%EA%B3%A0%EB%8B%88TV-GONITV
15,15,디에디트 THE EDIT,387000,https://www.youtube.com/channel/UCJKZoVf3RIMfFffjdseqdEg
16,16,테크몽 Techmong,603000,https://www.youtube.com/channel/UCFX6adXoyQKxft933NB3rmA
17,17,인스펙팅룸 InspectingRoom,104000,https://www.youtube.com/c/%EC%9D%B8%EC%8A%A4%ED%8E%99%ED%8C%85%EB%A3%B8InspectingRoom
18,18,UNDERkg,669000,https://www.youtube.com/c/Underkg
19,19,VTQ 뷔티크,41800,https://www.youtube.com/user/virgin0909
20,20,서울리안 SEOULiAN,222000,https://www.youtube.com/c/%EC%84%9C%EC%9A%B8%EB%A6%AC%EC%95%88
21,21,만능혁키,76600,https://www.youtube.com/channel/UCOlQ58g_SqQrJi8R-ixxdiA
22,22,청순이 이야기,1090,https://www.youtube.com/channel/UCry2Dh0MV3xhFbT4Y2A--kA
23,23,오늘도 라이언,25099,https://www.youtube.com/c/%EC%98%A4%EB%8A%98%EB%8F%84%EB%9D%BC%EC%9D%B4%EC%96%B8
24,24,슈퍼로더 Super Roader ,17800,https://www.youtube.com/c/%EC%8A%88%ED%8D%BC%EB%A1%9C%EB%8D%94SuperRoader
25,25,스튜디오 모모,6500,https://www.youtube.com/c/%EC%8A%A4%ED%8A%9C%EB%94%94%EC%98%A4%EB%AA%A8%EB%AA%A8
26,26,MR엠알,567000,https://www.youtube.com/c/MR%EC%97%A0%EC%95%8C
27,27,몹티비 MobileTV 몹피디,11200,https://www.youtube.com/c/%EB%AA%B9%ED%8B%B0%EB%B9%84MobileTV%EB%AA%B9%ED%94%BC%EB%94%94
28,28,탐스TV,5790,https://www.youtube.com/c/%ED%83%90%EC%8A%A4TV
29,29,영디비 0DiBi,48300,https://www.youtube.com/c/0dBdb
30,30,B NOTE 비노트 cause I am,118000,https://www.youtube.com/c/BNOTE%EB%B9%84%EB%85%B8%ED%8A%B8causeIam
31,31,네모난꿈,8180,https://www.youtube.com/c/%EB%84%A4%EB%AA%A8%EB%82%9C%EA%BF%88
32,32,SM C C STUDIO,1120000,https://www.youtube.com/c/SMCCStudio
33,33,오리뷰   오늘의 리뷰,1190,https://www.youtube.com/channel/UCIVJRXlM6pJQuv42na2x7-w
34,34,To Much IT,9090,https://www.youtube.com/channel/UCsE6934Fu-aiJ6uMZXOKqHw
35,35,EBS 키즈,3320000,https://www.youtube.com/c/ebskids
36,36,커피새,123000,https://www.youtube.com/c/%EC%BB%A4%ED%94%BC%EC%83%88
37,37,KEVIN 케빈   IT리뷰,28400,https://www.youtube.com/channel/UCvFhJjq2S7onUjiVmM4c5Bw
38,38,인싸IT,17100,https://www.youtube.com/c/%EC%9D%B8%EC%8B%B8IT
39,39,알뷰,60599,https://www.youtube.com/channel/UCoSDm6n22lp_0KbaAPubWSw
40,40,용팔이 훈련소,32200,https://www.youtube.com/c/%EC%9A%A9%ED%8C%94%EC%9D%B4%ED%9B%88%EB%A0%A8%EC%86%8C
41,41,IT s okay 잇츠 오케이,156000,https://www.youtube.com/c/ITsokay%EC%9E%87%EC%B8%A0%EC%98%A4%EC%BC%80%EC%9D%B4
42,42,진자림 Jinjalim,527000,https://www.youtube.com/channel/UCu38CqTttqEQFwVccmFPlyQ
43,43,14F 일사에프,1520000,https://www.youtube.com/c/14FMBC
44,44, YTN,3440000,https://www.youtube.com/c/ytnnews24
45,45,JTBC News,2410000,https://www.youtube.com/user/JTBC10news
46,46,당신의 생존기술,34800,https://www.youtube.com/channel/UCVljIlKsCuGo55nqksB67DQ
47,47,아저씨스타,53600,https://www.youtube.com/c/%EC%95%84%EC%A0%80%EC%94%A8%EC%8A%A4%ED%83%80
48,48,리더유,65900,https://www.youtube.com/c/leaderyou1
49,49,아이가AIGA,10900,https://www.youtube.com/c/%EC%95%84%EC%9D%B4%EA%B0%80AIGA
50,50,휴대폰 지식인,46600,https://www.youtube.com/channel/UC7llaqAABN-nQ0cANlB94rA
51,51,2달러 인싸G,25800,https://www.youtube.com/c/2%EB%8B%AC%EB%9F%AC
52,52,에이트 ATE,173000,https://www.youtube.com/c/%EC%97%90%EC%9D%B4%ED%8A%B8ATE
53,53,GravityCannoN ,268,https://www.youtube.com/channel/UCM6XWqEM7mIfEtYVDYE6VTQ
54,54,SK telecom,1110000,https://www.youtube.com/c/SKtelecom
55,55,뉴스 247,1090,https://www.youtube.com/channel/UCdYUzZBpHN9pPTcePFJlVlg
56,56,벨라의 우주 Bella,1300,https://www.youtube.com/channel/UCQVLCNu1nju-qwWHkh2X0kQ
57,57,올댓폰,1530,https://www.youtube.com/c/%EC%98%AC%EB%8C%93%ED%8F%B0
58,58,kt M모바일,7310,https://www.youtube.com/channel/UCSvOg4rSu395lPz6uMqBekw
59,59,파란만장,46500,https://www.youtube.com/c/ParanManjang
60,60,허팝Heopop,4010000,https://www.youtube.com/c/heopopfamily
61,61,더로그 The Log,107000,https://www.youtube.com/user/yeols102
62,62,딴트공말방구 실험실,202000,https://www.youtube.com/c/ddangfilm
63,63,Mobee s 모비즈 ,3690,https://www.youtube.com/channel/UCsatrBPum5ied5Qpo3onWuw
64,64,TechDroider,491000,https://www.youtube.com/c/TechdroiderOfficial
65,65,TongTongTv 통통테크,91900,https://www.youtube.com/c/TongTongTv%ED%86%B5%ED%86%B5%ED%85%8C%ED%81%AC
66,66,HeyNews,76100,https://www.youtube.com/channel/UC1JuasrqdCZ63YhKhxZ0J3w
67,67,PINAY TV한필커플 피나이티비,299000,https://www.youtube.com/channel/UCPDdt9Iv4cXPEQmyVU_96sw
68,68,LG Uplus,687000,https://www.youtube.com/c/lguplus
69,69,SBS 뉴스,2820000,https://www.youtube.com/sbs8news
70,70,MTN 머니투데이방송,891000,https://www.youtube.com/user/mtn
71,71,JM,445000,https://www.youtube.com/channel/UCYAvG7-sBBztgDtwKil1RTQ
72,72,b급TV,28800,https://www.youtube.com/c/brucemoon
73,73,증권돌이TV,106000,https://www.youtube.com/channel/UCXujtwzt8nlEuVhqQlcJ-Ng
74,74,만물상점,356,https://www.youtube.com/user/simplyjayra
75,75,P튜버,1960,https://www.youtube.com/channel/UCTd7ZoshO-mnXBk0_4gbRxw
76,76,주식천리안 도깨비밸류,1790,https://www.youtube.com/c/%EC%A3%BC%EC%8B%9D%EC%B2%9C%EB%A6%AC%EC%95%88%EB%8F%84%EA%B9%A8%EB%B9%84%EB%B0%B8%EB%A5%98
77,77,다이아몬드TV,975,https://www.youtube.com/c/%EB%8B%A4%EC%9D%B4%EC%95%84%EB%AA%AC%EB%93%9CTV
78,78,길IT,325,https://www.youtube.com/channel/UC__x8cY1fWFz3mCSwGQcuiQ
79,79,오목교 전자상가,59900,https://www.youtube.com/c/%EC%98%A4%EB%AA%A9%EA%B5%90%EC%A0%84%EC%9E%90%EC%83%81%EA%B0%80R
80,80,사야하는이유 SAU,742,https://www.youtube.com/channel/UC7I5VTuNKdc5n_easblV3qg
81,81,Route 9 루트나인,111000,https://www.youtube.com/channel/UCQ2a9oTOgf1P5y32uiS-whQ
82,82,디스튜디오 D_studio,2840,https://www.youtube.com/c/%EC%A0%95%EC%9A%B0%EC%8C%A4TVDailyTube
83,83,심플 IT,2300,https://www.youtube.com/channel/UCu90S1_4r14uHiYa30X3nsg
84,84,아정당,93000,https://www.youtube.com/channel/UCV77qil5hUvWrMGgWaZa5Tw
85,85,흔한일상,325000,https://www.youtube.com/channel/UCy-NrXlV-_3ed0UKnKMbVmQ
86,86,주둥이방송,859000,https://www.youtube.com/c/%EC%A3%BC%EB%91%A5%EC%9D%B4%EB%B0%A9%EC%86%A1
87,87,리뷰띠,133000,https://www.youtube.com/c/%EB%A6%AC%EB%B7%B0%EB%9D%A0
88,88,마이린 TV,1070000,https://www.youtube.com/c/mylynntv
89,89,방구석 리뷰룸,233000,https://www.youtube.com/c/%EB%B0%A9%EA%B5%AC%EC%84%9D%EB%A6%AC%EB%B7%B0%EB%A3%B8
90,90,HeeHoWürzburg,72,https://www.youtube.com/channel/UC_erVcoR7dOOAcW4dto_zDQ
91,91,이채윤YouTube  Lee chae yun ,144000,https://www.youtube.com/c/%EC%9D%B4%EC%B1%84%EC%9C%A4YouTube
92,92,Brian Tong,247000,https://www.youtube.com/user/briantong
93,93,짧지식,86600,https://www.youtube.com/c/%EC%A7%A7%EC%A7%80%EC%8B%9D
94,94,테크클립,2470,https://www.youtube.com/c/%ED%85%8C%ED%81%AC%ED%81%B4%EB%A6%BD
95,95,초튜터,2330,https://www.youtube.com/c/%EC%B4%88%ED%8A%9C%ED%84%B0
96,96,Technical Subir,6610,https://www.youtube.com/c/TechnicalSubir
97,97,나이한,58,https://www.youtube.com/channel/UCx5Wo9-7v-uiUr7ZDzKk9kw
98,98,An Irish Bloke Named Colton,17,https://www.youtube.com/channel/UCkhD0N5JmfrsSTL4m9DUrcw
99,99,사랑아놀자 Let s Play SARANG ,466000,https://www.youtube.com/channel/UCSmKpwGictx2FI3kUIGFV6A
100,100,더블비,1660000,https://www.youtube.com/channel/UCyCL5k8P1iUOc1EymhhMW1A
101,101,누군가는 해야하잖아,6520,https://www.youtube.com/channel/UCwHTeh9tjyFNfLRQKn5F_uw
102,102,리뷰머장,4290,https://www.youtube.com/c/%EB%A6%AC%EB%B7%B0%EB%A8%B8%EC%9E%A5
103,103, Tech_Note 테크노트,3090,https://www.youtube.com/c/TechNote%ED%85%8C%ED%81%AC%EB%85%B8%ED%8A%B8
104,104,레이디액션,600000,https://www.youtube.com/channel/UCt_UFhBBHk5rQPQv12Y7RHg
105,105,하이니티 High_nity,2340,https://www.youtube.com/channel/UCPC8Z337_JwfjlfC9tSlvcQ
106,106,헬로음이유니,216000,https://www.youtube.com/channel/UCe00Auj7P4rdjMWSYMojqGA
107,107,꼬집기,1330,https://www.youtube.com/channel/UC4dJY-aiAiQiAEc8DMj2DZA
108,108,ITmang 잇맹,1530,https://www.youtube.com/c/ItMang
109,109,ZONEofTECH,1320000,https://www.youtube.com/c/ZONEofTECH
110,110,AronHwang테크튜브,39700,https://www.youtube.com/c/Aronhwang
111,111,DoIT두잇,3820,https://www.youtube.com/channel/UCuGMcC9Ocryc2IjbS8xe4WQ
112,112,대쉬의 생활IT,9840,https://www.youtube.com/channel/UCVyCwzPOCOq1JsI919w9AGw
113,113,잇템ITtem,22300,https://www.youtube.com/c/%EC%9E%87%ED%85%9CITtem
114,114,영일영 윤상혁,3420,https://www.youtube.com/channel/UCV_ofaMOHEyxo0P6W5wdoyw
115,115,카일파일 K File,2350,https://www.youtube.com/c/%EC%B9%B4%EC%9D%BC%ED%8C%8C%EC%9D%BCKFile
116,116,MBCNEWS,2470000,https://www.youtube.com/c/MBCNEWS11
117,117,힉튜브 HIC,2000,https://www.youtube.com/channel/UCYtXIByqx4zRUh3tcAN_6dg
118,118,MacGyu맥규,1530,https://www.youtube.com/c/MacGyu%EB%A7%A5%EA%B7%9C
119,119,우크테크 UkTech,320,https://www.youtube.com/channel/UCWKWjdHGn4Arv9PUpU-3few
120,120,MeetSean possible,0,https://www.youtube.com/c/MeetSeanpossible
121,121,이거사  294 ,5380,https://www.youtube.com/c/%EC%9D%B4%EA%B1%B0%EC%82%AC294
122,122,蘋果爹,277000,https://www.youtube.com/c/%E8%98%8B%E6%9E%9C%E7%88%B9
123,123,Matt Talks Tech,434000,https://www.youtube.com/c/MattDoesTech
124,124,JeffreyTech,23700,https://www.youtube.com/channel/UCUFaNbUlkqxXE-reQfnbJPQ
125,125,Unbox Therapy,18200000,https://www.youtube.com/c/unboxtherapy
126,126,SimplyPops,196000,https://www.youtube.com/c/SimplyPops
127,127,Apple IN India,103000,https://www.youtube.com/c/AppleINIndia
128,128,zollotech,1150000,https://www.youtube.com/c/zollotech
129,129,Tech ET,529000,https://www.youtube.com/c/TechETN
130,130,FUZZ CHANNEL,352000,https://www.youtube.com/c/FUZZCHANNELMY
131,131,HotshotTek,211000,https://www.youtube.com/c/HOTSHOTchannel
132,132,liTech,2900,https://www.youtube.com/channel/UCwM5PCPfVC2lcT95RQZEIxw
133,133,ZoneOFmobile,10900,https://www.youtube.com/c/ZoneOFmobiles
134,134,MobileCity,59600,https://www.youtube.com/channel/UCilo7PrAr98E2yhUlh5AmEA
135,135,TT Technology,518000,https://www.youtube.com/c/tttechnology
136,136,Pocketnow,1810000,https://www.youtube.com/c/Pocketnow
137,137,GadgetsLife,120000,https://www.youtube.com/c/GadgetsLife
138,138,Dave2D,3570000,https://www.youtube.com/c/Dave2D
139,139,Max Tech,1000000,https://www.youtube.com/c/MaxTechOfficial
140,140,XEETECHCARE,1670000,https://www.youtube.com/c/XEETECHCARE
141,141,Jojol,2330000,https://www.youtube.com/c/jojol67
142,142,Totally Studios,601000,https://www.youtube.com/c/TotallyStudios
143,143,Brandon Butch,904000,https://www.youtube.com/c/BrandonButch
144,144,Your AppleTuber   ,150000,https://www.youtube.com/c/YourAppleTuber
145,145,Apple Advice,25900,https://www.youtube.com/c/AppleAdvice
146,146,Naseem Speach,13500,https://www.youtube.com/channel/UCSQEQ7QojWLZ6EQJSpJ02tQ
147,147,9to5Mac,756000,https://www.youtube.com/c/9to5mac
148,148,Andrés Neshudo,1030000,https://www.youtube.com/c/neshudo
149,149,Apple Explained,1280000,https://www.youtube.com/c/AppleExplained
150,150,EverythingApplePro E A P,8270000,https://www.youtube.com/c/EverythingApplePro
151,151,Demon s Tech,6340,https://www.youtube.com/c/DemonsTech
152,152,The Tech Reviewer,32800,https://www.youtube.com/c/TechReviewer1
153,153,TecnoTV,270000,https://www.youtube.com/c/MiniStudiosFK
154,154,hollywoodfrodo,28700,https://www.youtube.com/c/hollywoodfrodo
155,155,GregsGadgets,234000,https://www.youtube.com/c/GregsGadgets
156,156,The Apple Circle,256000,https://www.youtube.com/c/TheAppleCircle
157,157,Technical Guruji,22300000,https://www.youtube.com/c/TechnicalGuruji
158,158,Giga Content,5580,https://www.youtube.com/c/GigaContent1
159,159,ElPanitaJosue,10600,https://www.youtube.com/c/ElPanitaJosue
160,160,Nick Ackerman,732000,https://www.youtube.com/c/NickAckermanchannel
161,161, ios beta news,240000,https://www.youtube.com/c/iOSbetanews
162,162,iClass 아이클래스,768,https://www.youtube.com/channel/UCKEcBmd1FGWgdARJW5j6p2w
163,163,TechTalkTV,749000,https://www.youtube.com/c/TechTalkTV
